id,city,type
bldg_002b5055-88b3-4574-a149-47b1b8930343_lod2,kyoto,3
bldg_003d9993-e979-4c0b-b9cd-9d4ba88f7192_lod2,kyoto,6
bldg_0083fc00-3eba-406c-85a7-54baa132409a_lod2,kyoto,6
bldg_00ad2884-064f-4a67-9470-d78e6113b753_lod2,kyoto,3
bldg_00bedc45-aebd-43d7-805e-b00e6558efcc_lod2,kyoto,5
bldg_00bf41e0-d6ba-4243-97d7-ffa6800b8756_lod2,kyoto,6
bldg_00c9bb30-0360-45b0-880d-7e7000d8fe6d_lod2,kyoto,6
bldg_00d4ee59-c383-46ec-b68d-5bcab23ded82_lod2,kyoto,3
bldg_010b940c-97e9-403b-bcc3-17ec1d093eb7_lod2,kyoto,7
bldg_011773a3-48b3-46a6-93a3-9a0c07e90f6e_lod2,kyoto,7
bldg_0118d26b-e8d4-455d-aa46-8cfa790e8451_lod2,kyoto,7
bldg_011fc7ba-4040-477e-abbe-7ad23ddde43c_lod2,kyoto,3
bldg_011ff0b1-16af-473b-b858-c960c9d85fd4_lod2,kyoto,3
bldg_0123fc63-07b9-4a9e-a9b3-6816c1626985_lod2,kyoto,2
bldg_0133e997-024b-449b-9d0a-f0929cb20bb7_lod2,kyoto,3
bldg_0191fadd-d8c4-4fdf-acb0-611ca9b08223_lod2,kyoto,3
bldg_01a878a6-a88f-4da8-9212-87de7bb9a55f_lod2,kyoto,3
bldg_01bf0884-f5eb-47aa-bc6e-65a9ad117e9c_lod2,kyoto,6
bldg_01c554ea-ab87-4c0e-a710-9d18a38dae7f_lod2,kyoto,7
bldg_01d1e6b7-3c3c-422d-b1a5-d73724694752_lod2,kyoto,6
bldg_01d46430-07a6-444f-be60-dec4720062b3_lod2,kyoto,6
bldg_0211d026-38c4-48b6-87ac-43cc7ebcb3c1_lod2,kyoto,3
bldg_0225063d-0fb8-48ed-a7c5-768d6fe04880_lod2,kyoto,6
bldg_0241e652-de67-4531-959a-02c4e5b4cabd_lod2,kyoto,6
bldg_024840a5-697d-44e8-a5ee-57ee96a9122e_lod2,kyoto,3
bldg_0279b5db-ab7e-455f-89cd-5798ee6d4f2c_lod2,kyoto,6
bldg_0290ec83-718d-4361-afde-0885fd1ddad2_lod2,kyoto,3
bldg_0291c8e8-bf7d-468f-9210-ba0c0a0b3890_lod2,kyoto,3
bldg_02a19ced-641e-4930-94bf-c0ce0f73c91f_lod2,kyoto,3
bldg_02a48811-cc2d-4ca2-bd3f-2de5e97c8295_lod2,kyoto,6
bldg_02d28e25-de5c-4ede-be69-222c396c140f_lod2,kyoto,3
bldg_02ef75b2-aa72-45f7-a033-62eb67d0fd70_lod2,kyoto,6
bldg_02f69556-038e-4655-b6bb-9bb3e1f74516_lod2,kyoto,3
bldg_02fced75-d511-403a-931b-963e604d3e10_lod2,kyoto,3
bldg_0316f375-2275-49cc-9bdb-9630615456e3_lod2,kyoto,3
bldg_03195391-d36c-4f5e-a312-c8c5c2851fae_lod2,kyoto,6
bldg_0352e11d-c5a1-4fc5-87dc-c4ab647b974c_lod2,kyoto,6
bldg_037309ba-b0bf-4355-9b13-61224d551176_lod2,kyoto,3
bldg_03a5be35-4ecc-4c44-aa10-f9321369023a_lod2,kyoto,3
bldg_03aec2cb-ec8c-4784-aca8-d7e0eb141dcb_lod2,kyoto,6
bldg_04098042-b8e9-40fa-8562-473ebded6e23_lod2,kyoto,6
bldg_0463f6d0-e2ee-4e3f-805a-43577d6e69fe_lod2,kyoto,6
bldg_04824dcd-e206-44dc-8660-23ed09e17123_lod2,kyoto,6
bldg_04ad1a0a-f6b6-4e71-9327-50f1b24c63dc_lod2,kyoto,6
bldg_04be8da9-dc69-4ab0-bf2f-46a56ce73b6b_lod2,kyoto,6
bldg_04f042cc-f6b5-46c2-8b25-30d37e200c0d_lod2,kyoto,6
bldg_04f7d6d0-536b-440c-af85-6167dae7f6be_lod2,kyoto,6
bldg_052059d8-35e6-43a1-bb77-0dd05b9ddd05_lod2,kyoto,6
bldg_05607aeb-93b1-4380-982f-430f820ec6b0_lod2,kyoto,6
bldg_05645a32-5c7c-407a-b0fa-04997ac11bce_lod2,kyoto,3
bldg_0568c72c-1ba6-4484-819d-9237995941db_lod2,kyoto,3
bldg_057895aa-8c67-4862-a6c5-9a16ef427ce3_lod2,kyoto,6
bldg_05962257-17ef-44e2-b3e7-8743adacf364_lod2,kyoto,6
bldg_05a4b7ca-d334-4bd0-8446-b6d03c7174af_lod2,kyoto,3
bldg_05b5fdd5-9f0d-42b0-b83e-0b4fce4ab46b_lod2,kyoto,3
bldg_05c8230f-30ac-4b83-89df-4e2f6f673d58_lod2,kyoto,3
bldg_05f34273-a148-4d5c-9c35-26988b43ddd1_lod2,kyoto,3
bldg_05f43303-3f6a-487e-bdda-6e6c0c30a07b_lod2,kyoto,6
bldg_05fce204-411a-4b8b-ab55-560993e273a7_lod2,kyoto,6
bldg_061bb4ba-c146-4811-a133-466ddbfa169d_lod2,kyoto,3
bldg_063c2304-711d-4729-b151-6fe6a3d41616_lod2,kyoto,7
bldg_063c48e1-58a5-46b8-aa3e-a3d7d192fae3_lod2,kyoto,5
bldg_064cd833-bbb1-482a-b2e4-678d8b21532e_lod2,kyoto,7
bldg_0671b191-9976-4950-a4c3-21532f4072d4_lod2,kyoto,6
bldg_0671b938-411f-431a-9ac2-1416d4365df0_lod2,kyoto,6
bldg_067be0b3-8582-4a6b-a2bd-6b8b8999933b_lod2,kyoto,6
bldg_069d4eb5-eaa5-4370-a8c9-aaa237e2a859_lod2,kyoto,6
bldg_06ce0e1c-f038-468e-b62d-5bdfd325302e_lod2,kyoto,7
bldg_06e18bdd-3508-4685-a2c3-9aaf7d8da9f4_lod2,kyoto,3
bldg_06efb101-7053-47e8-ba4e-f105ed186793_lod2,kyoto,3
bldg_0700c158-2eb5-4093-b9a2-caf3d63a442e_lod2,kyoto,6
bldg_0707c25d-b387-4170-a49a-4d55acb90745_lod2,kyoto,3
bldg_072b70eb-61e6-464d-a401-65158441571d_lod2,kyoto,6
bldg_0753f0a3-60a7-440d-98b6-d675d3d06dab_lod2,kyoto,3
bldg_075ab429-beb9-4a59-a4ce-d925310f6b1a_lod2,kyoto,6
bldg_0769b101-49fa-4c79-aba3-c21b482282fb_lod2,kyoto,3
bldg_07d476bf-48f5-430d-8680-ca258beb16ea_lod2,kyoto,3
bldg_07e268cb-64bd-47f9-a247-83d4ca1fd6f7_lod2,kyoto,3
bldg_07e78172-c24c-4e6a-9e23-593566ba6c9e_lod2,kyoto,3
bldg_07fae931-81ba-4574-8386-57c61e49b263_lod2,kyoto,6
bldg_082029b0-83eb-43cd-b520-eb4daf652abe_lod2,kyoto,7
bldg_08212103-86d4-4e9e-ab80-569fce808b47_lod2,kyoto,2
bldg_0823b272-234e-481f-8234-a11b4ffaad9b_lod2,kyoto,3
bldg_08259a01-1406-4087-a03d-48ee3dc0e98e_lod2,kyoto,6
bldg_082c90d8-f688-4b7f-8b26-f816ff5b367e_lod2,kyoto,6
bldg_083d32e4-95ad-4040-9b79-591bca153aa4_lod2,kyoto,6
bldg_084019ef-e81e-411a-b276-189408154134_lod2,kyoto,6
bldg_08905ead-78af-414e-b002-5ccd1e594f7e_lod2,kyoto,6
bldg_089f29d3-204f-44a4-98c2-7bb99c1e0003_lod2,kyoto,3
bldg_08ac989f-c7e8-4109-b5a1-a008204a1b3e_lod2,kyoto,6
bldg_08bc65f2-0c61-4b6c-8108-520f381d4705_lod2,kyoto,6
bldg_08c79a74-9b4b-4d0f-aadb-5ed411cea1ca_lod2,kyoto,3
bldg_08cb6ec1-5e63-45ce-aa3d-0c88646e2eb7_lod2,kyoto,3
bldg_090af8e4-7ddd-4c03-bae8-b5fb5a0d2fbe_lod2,kyoto,3
bldg_092aa01c-0be6-462b-97cc-f03fa7bcf235_lod2,kyoto,6
bldg_093db1c8-9657-4bdf-8103-f7ca3e236a35_lod2,kyoto,3
bldg_093ecfe1-47a1-4ca1-8274-e081b4833204_lod2,kyoto,3
bldg_0963709f-067f-445d-a137-5d2e05a5cf26_lod2,kyoto,6
bldg_0969b61e-f01e-402c-9715-34629beb3681_lod2,kyoto,6
bldg_098072ce-f8d6-4973-a90c-1cc559a6f23e_lod2,kyoto,6
bldg_099a6315-c834-497a-aa74-5e118f9018df_lod2,kyoto,3
bldg_099b9a6a-6850-4afe-a34e-4ceac611c199_lod2,kyoto,6
bldg_09bc128a-4af0-4503-a915-38637956ad2f_lod2,kyoto,3
